mutant_id,module,disposition,reason
agents.analyst.domain.alpha_features.x_compute_alpha_features__mutmut_14,alpha_features,equivalent,"Prepends an i=0 return before the 61 real returns; exported ROC/MAX/MIN/STD windows read tail slices, so the inserted head value is never selected."
agents.analyst.domain.alpha_features.x_compute_alpha_features__mutmut_16,alpha_features,equivalent,"Starts returns at i=2; the omitted first daily return is outside every published tail window once 62 or more bars are present."
agents.analyst.domain.alpha_features.x_compute_alpha_features__mutmut_128,alpha_features,killed,"Known extrema fixture asserts max_10 excludes older spikes and uses the exact tail window."
agents.analyst.domain.alpha_features.x_compute_alpha_features__mutmut_130,alpha_features,killed,"Known extrema fixture asserts max_20 includes the exact twentieth-from-last return."
agents.analyst.domain.alpha_features.x_compute_alpha_features__mutmut_132,alpha_features,killed,"Known extrema fixture asserts max_60 includes the exact sixtieth-from-last return."
agents.analyst.domain.alpha_features.x_compute_alpha_features__mutmut_134,alpha_features,killed,"Known extrema fixture asserts min_5 uses the exact five-return tail."
agents.analyst.domain.alpha_pillar.x_score_alpha158__mutmut_28,alpha_pillar,killed,"Epsilon-std universe fixture asserts the zero-z feature contributes exactly zero."
agents.analyst.domain.analyze.x_score_candidates__mutmut_1,analyze,equivalent,"The initial decisions value is overwritten inside fault_boundary before any successful return; on the fault path capture returns None, so the initializer is dead."
agents.analyst.domain.analyze.x_score_candidates__mutmut_5,analyze,killed,"Fault-boundary fixture asserts the exact origin payload and capture path."
agents.analyst.domain.analyze.x_score_candidates__mutmut_6,analyze,equivalent,"reraise=None is falsy in fault_boundary just like False; both variants capture score faults and suppress the exception."
agents.analyst.domain.analyze.x_score_candidates__mutmut_10,analyze,killed,"Fault-boundary fixture asserts score_candidates records the expected origin name."
agents.analyst.domain.analyze.x_score_candidates__mutmut_12,analyze,killed,"Alpha-disabled fixture asserts the scoring function is not called."
agents.analyst.domain.analyze.x_score_candidates__mutmut_13,analyze,killed,"Alpha-disabled fixture asserts candidates are still returned without feature work."
agents.analyst.domain.analyze.x_score_candidates__mutmut_14,analyze,killed,"Alpha-disabled fixture pins the empty alpha diagnostics path."
agents.analyst.domain.analyze.x_score_candidates__mutmut_15,analyze,killed,"Alpha-disabled fixture proves the technical scorer remains wired."
agents.analyst.domain.analyze.x_score_candidates__mutmut_16,analyze,killed,"Alpha-disabled fixture checks output length and score payload."
agents.analyst.domain.analyze.x_score_candidates__mutmut_17,analyze,killed,"Alpha-disabled fixture asserts no alpha feature data leaks into the decision."
agents.analyst.domain.analyze.x_score_candidates__mutmut_22,analyze,killed,"Alpha-disabled test asserts compute_alpha_features is skipped."
agents.analyst.domain.analyze.x_score_candidates__mutmut_23,analyze,killed,"Ticker-threading fixture asserts alpha scores are looked up by ticker."
agents.analyst.domain.analyze.x_score_candidates__mutmut_27,analyze,killed,"Ticker-threading fixture asserts the first candidate keeps its own alpha score."
agents.analyst.domain.analyze.x_score_candidates__mutmut_28,analyze,killed,"Ticker-threading fixture asserts the second candidate keeps its own alpha score."
agents.analyst.domain.analyze.x_score_candidates__mutmut_30,analyze,killed,"Ticker-threading fixture asserts sorted decision order after scoring."
agents.analyst.domain.analyze.x_score_candidates__mutmut_31,analyze,killed,"Ticker-threading fixture checks the exact per-ticker alpha_score field."
agents.analyst.domain.analyze.x_score_candidates__mutmut_35,analyze,killed,"Ticker-threading fixture pins the expected recommendation action."
agents.analyst.domain.analyze.x_score_candidates__mutmut_48,analyze,killed,"Ticker-threading fixture asserts alpha diagnostics follow the matching ticker."
agents.analyst.domain.analyze.x_score_candidates__mutmut_54,analyze,killed,"Ticker-threading fixture asserts no cross-candidate alpha reuse."
agents.analyst.domain.analyze.x_score_candidates__mutmut_61,analyze,killed,"Ticker-threading fixture pins exact confidence output."
agents.analyst.domain.analyze.x_score_candidates__mutmut_63,analyze,killed,"Ticker-threading fixture checks the expected score bundle shape."
agents.analyst.domain.analyze.x_score_candidates__mutmut_65,analyze,killed,"Ticker-threading fixture asserts the score/recommendation handoff uses the candidate ticker."
agents.analyst.domain.analyze.x_score_candidates__mutmut_74,analyze,killed,"Ticker-threading fixture pins the final decision list."
agents.analyst.domain.indicators._pstdev__mutmut_1,indicators,killed,"Two-value standard-deviation fixture asserts variance is computed instead of taking the singleton guard."
agents.analyst.domain.indicators._pstdev__mutmut_2,indicators,killed,"Two-value standard-deviation fixture asserts the squared deviation path is used."
agents.analyst.domain.indicators.x_bollinger_position__mutmut_31,indicators,killed,"Above-upper-band fixture asserts the position clamps to exactly 1.0."
agents.analyst.domain.indicators.x_ema_crossover_spread__mutmut_1,indicators,killed,"EMA fixture asserts the exact long-window spread value."
